title	description	publicationDate	city	previewImage	images	isPremium	isFavorite	rating	type	bedrooms	maxGuests	price	amenities commentsCount	coordinates	createdAt	updatedAt
Тихий дом в пригороде	Уютная квартира в самом центре города, идеально подходит для пар или небольших семей.	2023-09-15T00:00:00.000Z	Paris	https://example.com/image1.jpg	https://example.com/image7_1.jpg,https://example.com/image7_2.jpg,https://example.com/image7_3.jpg,https://example.com/image7_4.jpg,https://example.com/image7_5.jpg,https://example.com/image7_6.jpg	true	hotel	1	10	2000	Air conditioning,Laptop friendly workspace,Towels	55.7963,49.1082	2024-09-15T00:00:00.000Z	2025-03-20T00:00:00.000Z
Уютная комната для путешественников	Комфортабельный отель, расположенный в историческом центре города, с удобствами высокого класса.	2023-07-10T00:00:00.000Z	Amsterdam	https://example.com/image6.jpg	https://example.com/image6_1.jpg,https://example.com/image6_2.jpg,https://example.com/image6_3.jpg,https://example.com/image6_4.jpg,https://example.com/image6_5.jpg,https://example.com/image6_6.jpg	false	apartment	1	4	12000	Laptop friendly workspace,Fridge,Air conditioning	59.9343,30.3351	2025-01-20T00:00:00.000Z	2025-03-20T00:00:00.000Z
Тихий дом в пригороде	Комфортабельный отель, расположенный в историческом центре города, с удобствами высокого класса.	2023-04-18T00:00:00.000Z	Brussels	https://example.com/image5.jpg	https://example.com/image2_1.jpg,https://example.com/image2_2.jpg,https://example.com/image2_3.jpg,https://example.com/image2_4.jpg,https://example.com/image2_5.jpg,https://example.com/image2_6.jpg	true	house	3	2	8000	Laptop friendly workspace,Fridge,Air conditioning	55.7963,49.1082	2024-10-01T00:00:00.000Z	2025-03-20T00:00:00.000Z
Комфортабельный отель в историческом центре	Просторный дом с прекрасным видом на озеро, идеальное место для больших компаний или семейных встреч.	2023-10-01T00:00:00.000Z	Amsterdam	https://example.com/image4.jpg	https://example.com/image3_1.jpg,https://example.com/image3_2.jpg,https://example.com/image3_3.jpg,https://example.com/image3_4.jpg,https://example.com/image3_5.jpg,https://example.com/image3_6.jpg	false	apartment	1	6	12000	Air conditioning,Laptop friendly workspace,Fridge	56.3269,44.0065	2024-09-15T00:00:00.000Z	2024-10-01T00:00:00.000Z
Стильная квартира с панорамным видом	Современная комната с потрясающим видом на городской пейзаж, отлично подходит для самостоятельных путешественников или командировочных.	2023-06-05T00:00:00.000Z	Paris	https://example.com/image5.jpg	https://example.com/image4_1.jpg,https://example.com/image4_2.jpg,https://example.com/image4_3.jpg,https://example.com/image4_4.jpg,https://example.com/image4_5.jpg,https://example.com/image4_6.jpg	true	apartment	4	4	2000	Laptop friendly workspace,Fridge,Air conditioning	55.7963,49.1082	2024-10-01T00:00:00.000Z	2024-10-01T00:00:00.000Z
Просторный дом у озера	Просторный дом с прекрасным видом на озеро, идеальное место для больших компаний или семейных встреч.	2023-04-18T00:00:00.000Z	Paris	https://example.com/image4.jpg	https://example.com/image4_1.jpg,https://example.com/image4_2.jpg,https://example.com/image4_3.jpg,https://example.com/image4_4.jpg,https://example.com/image4_5.jpg,https://example.com/image4_6.jpg	true	house	3	4	9000	Breakfast,Washer,Towels,Baby seat,Fridge	55.0084,82.9357	2024-09-15T00:00:00.000Z	2025-03-20T00:00:00.000Z
Стильная квартира с панорамным видом	Тихий дом в пригороде, окруженный природой, идеальное место для отдыха от городской суеты.	2023-06-05T00:00:00.000Z	Cologne	https://example.com/image6.jpg	https://example.com/image3_1.jpg,https://example.com/image3_2.jpg,https://example.com/image3_3.jpg,https://example.com/image3_4.jpg,https://example.com/image3_5.jpg,https://example.com/image3_6.jpg	true	apartment	2	4	2000	Breakfast,Washer,Towels,Baby seat,Fridge	55.7963,49.1082	2024-10-01T00:00:00.000Z	2025-03-20T00:00:00.000Z
Уютная квартира в центре города	Уютная квартира в самом центре города, идеально подходит для пар или небольших семей.	2023-05-12T00:00:00.000Z	Hamburg	https://example.com/image1.jpg	https://example.com/image5_1.jpg,https://example.com/image5_2.jpg,https://example.com/image5_3.jpg,https://example.com/image5_4.jpg,https://example.com/image5_5.jpg,https://example.com/image5_6.jpg	true	room	3	6	3000	Air conditioning,Laptop friendly workspace,Fridge	55.7558,37.6176	2024-09-15T00:00:00.000Z	2024-10-01T00:00:00.000Z
Уютная комната для путешественников	Современная комната с потрясающим видом на городской пейзаж, отлично подходит для самостоятельных путешественников или командировочных.	2023-04-18T00:00:00.000Z	Dusseldorf	https://example.com/image3.jpg	https://example.com/image6_1.jpg,https://example.com/image6_2.jpg,https://example.com/image6_3.jpg,https://example.com/image6_4.jpg,https://example.com/image6_5.jpg,https://example.com/image6_6.jpg	true	house	2	6	2500	Breakfast,Washer,Towels,Baby seat,Fridge	59.9343,30.3351	2025-01-20T00:00:00.000Z	2025-02-15T00:00:00.000Z
Стильная квартира с панорамным видом	Тихий дом в пригороде, окруженный природой, идеальное место для отдыха от городской суеты.	2023-09-15T00:00:00.000Z	Cologne	https://example.com/image7.jpg	https://example.com/image3_1.jpg,https://example.com/image3_2.jpg,https://example.com/image3_3.jpg,https://example.com/image3_4.jpg,https://example.com/image3_5.jpg,https://example.com/image3_6.jpg	true	hotel	1	8	15000	Air conditioning,Laptop friendly workspace,Fridge	59.9343,30.3351	2024-10-01T00:00:00.000Z	2025-02-15T00:00:00.000Z
